5.443748287162319954e-01	2.964270199369685699e+01
6.452887571038369297e-01	1.935727129497952959e+01
7.649096873685016229e-01	1.405593114176412151e+01
9.067054452585626700e-01	1.068418588285315174e+01
1.074786707552139564e+00	8.287536258427671498e+00
1.274026171091707571e+00	6.460261727105637952e+00
1.510199812875761438e+00	6.202758272689513852e+00
1.790154336355319620e+00	4.563845165500071133e+00
2.122005658224373370e+00	3.273496448465633701e+00
2.515374189861188547e+00	2.651178277207045131e+00
2.981663734258913845e+00	1.740681184313829677e+00
3.534392083702434739e+00	1.211853390928959939e+00
4.189582902259528119e+00	9.047656484349234640e-01
4.966230253808803674e+00	6.926036108711051131e-01
5.886849242330148613e+00	4.948869003954746160e-01
6.978128727588643443e+00	4.283906278288876490e-01
8.271705038521353970e+00	2.361361011925567077e-01
9.805079114374992244e+00	1.298454652730660630e-01
1.162270366163087409e+01	4.725672637967907874e-02
1.377727184353255119e+01	3.246158522217936632e-02
